Organization,Name,Farm,Address,Latitude,Longitude
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos LTDA - Fazenda Santa Barbara,Fazenda Santa Bárbara,Povoado Venda Seca – Goiatuba/Goiás,,
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Condomínio Milla,"Rod. PI 392, km 45, Baixa Grandedo Ribeiro/PI","8º14'53,32""","45º15'17,73"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fazenda Boa Esperança,"Rod. Transcerrado, km 51,Uruçui/PI","8º20'11,01""","44º25'06,13"""
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fazenda Itapuá,"MA 006, Transpenitente, TassoFragoso/MA","8º52'42,15""","46º03'55,84"""
Fazenda Santa Cruz,Fazenda Santa Cruz,Fazenda Santa Cruz,,-21.64082748233687,-45.80302
Serra da Pintura,Serra da Pintura,Serra da Pintura,Santa Fé de Goías/GO,15º34'10.8''S,51º12'30.9''W
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA CACHOEIRA,Orizona sentido povoado da Cachoeira no km 22 a esquerda onde localiza-se o imóvel. Orizona-GO (Brasil),,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MORADA DO MUTUM,Orizona GO-219 sentido Distrito de Egerineu Teixeira no km 07 a direita onde localiza-se o imóvel. Orizona-GO (Brasil),,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA AREIAS DE BAIXO,Orizona GO-219 sentido Montes Claros após o povoado seguir por mais 2 km virar a esquerda onde se localiza o imóvel(Faz. Areias de Baixo). Orizona-GO (Brasil),,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MORRO ALTO,Orizona GO-219 sentido Distrito de Egerineu Teixeira no km 08 a esquerda onde localiza- se o imóvel. Orizona-GO (Brasil),,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA TAQUARAL DE CIMA,Orizona/Caraiba GO 330 após 20 km virar a direita e seguir por mais 4 km até o imóvel.Vianopolis-GO (Brasil),,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA ENGENHO VELHO,Estrada Silvânia S Miguel Passa Quatro km 15,,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MUCAMBO,GO 437 KM 24 A DREITA 6KM,,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA RIO DO PEIXE,Rod. GO 330 Km 109 a direita 8 km,,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA PONTE ALTA,"GO 330 sentido Leopoldo de Bulhões trevo sentido a Cruzeiro km12, 2 km a esquerda",,
Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA ENGENHO VELHO,Estrada Silvânia S Miguel Passa Quatro km 16,,
