CityID,City,GeoCode
285,Curvelândia,5103437
306,Reserva do Cabaçal,5107156
308,Jauru,5105002
309,Vale de São Domingos,5108352
1045,Nortelândia,5106000
1048,Arenápolis,5101308
1049,Nova Lacerda,5106182
1057,Santo Afonso,5107263
1066,Nova Marilândia,5108857
3119,Espigão D'Oeste,1100098
3129,Pimenta Bueno,1100189
3130,Vilhena,1100304
3800,Ipiranga do Norte,5104526
4146,Nova Santa Helena,5106190
503,Colméia,1716703
504,Itaporã do Tocantins,1711100
676,Cachoeira do Arari,1502004
800,Goianésia do Pará,1503093
753,Bandeirantes do Tocantins,1703057
763,Colinas do Tocantins,1705508
768,Pequizeiro,1716653
780,Nova Olinda,1714880
790,Pau D'Arco,1716307
895,Piçarra,1505635
821,São Geraldo do Araguaia,1507458
879,Carmolândia,1703883
857,Muricilândia,1713957
2838,Itamarati,1301951
2840,Água Azul do Norte,1500347
2852,Oiapoque,1600501
2891,Calçoene,1600204
2934,São Paulo de Olivença,1303908
2965,Itacoatiara,1301902
2971,Prainha,1506005
3080,Plácido de Castro,1200385
3145,Santarém,1506807
3228,Careiro da Várzea,1301159
3755,Curralinho,1502806
3802,Sapucaia,1507755
3807,Medicilândia,1504455
4093,Melgaço,1504505
4097,Cumaru do Norte,1502764
712,Itapecuru Mirim,2105401
976,Presidente Juscelino,2109205
983,Rosário,2109601
2303,Cachoeira Grande,2102374
2853,Icatu,2105104
2858,São Luís,2111300
3972,Santa Rita,2110203
254,Olho d'Água das Cunhãs,2107407
255,Altamira do Maranhão,2100402
515,Capanema,1502202
516,Nova Timboteua,1505007
713,Amarante do Maranhão,2100600
801,Santa Luzia,2110005
802,Dom Eliseu,1502939
803,Conceição do Lago-Açu,2103554
805,São Mateus do Maranhão,2111508
806,Tufilândia,2112274
808,Itaipava do Grajaú,2105351
884,Turilândia,2112456
886,Garrafão do Norte,1503077
888,Irituia,1503507
890,Cachoeira do Piriá,1501956
762,São Bento do Tocantins,1720101
774,João Lisboa,2105500
859,Bom Jardim,2102002
864,Alto Alegre do Pindaré,2100477
911,Senador La Rocque,2111763
913,Araguatins,1702208
2861,Bragança,1501709
2862,Tracuateua,1508035
2863,Augusto Corrêa,1500909
2893,Cândido Mendes,2102606
941,São Francisco do Brejão,2110856
2956,Pinheiro,2108603
2957,Mirinzal,2106805
2964,Igarapé-Açu,1503200
4001,Carutapera,2102903
4335,Cedral,2103109
1041,Barra do Bugres,5101704
1043,Denise,5103452
1490,Glória D'Oeste,5103957
1498,Araputanga,5101258
1503,Salto do Céu,5107750
1411,Lambari D'Oeste,5105234
1412,Porto Estrela,5106851
1875,Pontes e Lacerda,5106752
1935,Rio Branco,5107206
2234,Mirassol d'Oeste,5105622
2235,São José dos Quatro Marcos,5107107
2312,Conquista D'Oeste,5103361
2436,Alto Paraguai,5100508
2892,Cáceres,5102504
3061,Porto Esperidião,5106828
3062,Figueirópolis D'Oeste,5103809
3063,Vila Bela da Santíssima Trindade,5105507
3745,Nova Olímpia,5106232
3770,Indiavaí,5104500
5,Pimenteiras do Oeste,1101468
23,São Francisco do Guaporé,1101492
62,Colorado do Oeste,1100064
102,Serra Nova Dourada,5107883
108,Parecis,1101450
118,Bom Jesus do Araguaia,5101852
119,Itanhangá,5104542
279,Vera,5108501
616,Alto Boa Vista,5100359
588,São Miguel do Guaporé,1100320
592,Presidente Médici,1100254
593,Juara,5105101
610,União do Sul,5108303
612,Santa Carmem,5107248
615,Brasnorte,5101902
2168,Juína,5105150
2348,Corumbiara,1100072
2349,Chupinguaia,1100924
2351,Costa Marques,1100080
2440,Sorriso,5107925
3046,Canabrava do Norte,5102694
648,Dois Irmãos do Tocantins,1707207
771,Bernardo Sayão,1703206
778,Arapoema,1702307
1863,Eldorado do Carajás,1502954
1736,Muaná,1504901
2356,Soure,1507904
2363,Igarapé-Miri,1503309
2365,Araguanã,1702158
2382,Juarina,1711803
2970,Moju,1504703
867,Pacajá,1505486
870,Apuí,1300144
871,Jacareacanga,1503754
952,Almeirim,1500503
1016,Itapuã do Oeste,1101104
1017,Candeias do Jamari,1100809
964,Manaquiri,1302553
968,Rio Preto da Eva,1303569
975,Codajás,1301308
1745,Nhamundá,1303007
1746,Santana,1600600
1747,Itaubal,1600253
1606,Alvarães,1300029
1737,Maués,1302900
1792,Boca do Acre,1300706
1794,Faro,1503002
1795,Mojuí dos Campos,1504752
