Latitude,Longitude,Name,Organization,Farm,State,City
-17.976491821986123,-49.65875427640442,Cataratas do Iguaçu Produtos Orgânicos LTDA - Fazenda Santa Barbara,Cataratas do Iguaçu Produtos Orgânicos,Fazenda Santa Bárbara,Goiás,Goiatuba
-8.248144444444444,-45.254925,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte,Condomínio Milla,Piauí,Baixa Grande do Ribeiro
-8.336391666666668,-44.418369444444444,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte,Fazenda Boa Esperança,Piauí,Uruçuí
-8.878375,-46.06551111111111,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte,Fazenda Itapuá,Maranhão,Alto Parnaíba
-21.64082748233687,-45.80302,Fazenda Santa Cruz,Fazenda Santa Cruz,Fazenda Santa Cruz,Minas Gerais,Paraguaçu
-15.569666666666667,-51.20858333333334,Serra da Pintura,Serra da Pintura,Serra da Pintura,Goiás,Santa Fé de Goiás
-16.96518361395266, -48.14075401073855,Tecnosol Consultoria Rural LTDA,Tecnosol Consultoria Rural,FAZENDA CACHOEIRA,Goiás,Orizona
-16.936003708292695,-48.291935761095644,Tecnosol Consultoria Rural LTDA,Tecnosol Consultoria Rural,FAZENDA TAQUARAL DE CIMA,Goiás,Orizona
-14.482765549430829, -48.63779947532951,Tecnosol Consultoria Rural LTDA,Tecnosol Consultoria Rural,FAZENDA RIO DO PEIXE,Goiás,Niquelândia
-15.875724813297035,-51.772552603436296,Tecnosol Consultoria Rural LTDA,Tecnosol Consultoria Rural,FAZENDA PONTE ALTA,Goiás,Montes Claros de Goiás
-15.428777726417373,-51.603984882034545,Tecnosol Consultoria Rural LTDA,Tecnosol Consultoria Rural,FAZENDA SANTA RITA,Goiás,Jussara
-18.490655555555556,-52.72437222222222,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA ALVORADA,Goiás,Chapadão do Céu
-18.738244444444444,-52.828250000000004,Agropecuaria Andrade,Agropecuaria Andrade,ESTANCIA ETANER,Mato Grosso do Sul,Paraíso das Águas
-20.387655555555554,-54.79999166666666,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SANTO ANTONIO,Mato Grosso do Sul,Terenos
-18.65628611111111,-52.74301388888889,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SAVANA,Goiás,Chapadão do Céu
-13.18923888888889,-56.03552777777777,GGF Agro LTDA,GGF Agro,Fazenda Água Santa,Mato Grosso,Lucas do Rio Verde
-13.666558333333334,-55.39378611111111,GGF Agro LTDA,GGF Agro,Fazenda Pau da Onça,Mato Grosso,Santa Rita do Trivelato
-19.254047222222223,-54.52487222222222,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Zilmar,Mato Grosso do Sul,São Gabriel do Oeste
-19.247997222222224,-54.49455277777778,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Flamboyant,Mato Grosso do Sul,São Gabriel do Oeste
-19.50088611111111,-54.59820833333334,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Cachoeira,Mato Grosso do Sul,São Gabriel do Oeste
-19.21662222222222,-54.54965833333333,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda São Luiz,Mato Grosso do Sul,São Gabriel do Oeste
-19.41153333333333,-54.63433611111111,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Boa Vista,Mato Grosso do Sul,São Gabriel do Oeste
-19.531880555555556,-54.52256388888889,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Nascente do Brioso,Mato Grosso do Sul,São Gabriel do Oeste
-19.408052777777776,-54.61779166666667,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Minina Linda,Mato Grosso do Sul,São Gabriel do Oeste
-19.33356388888889,-54.49084444444445,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Ponte de Pedra 2,Mato Grosso do Sul,São Gabriel do Oeste
-17.628219444444444,-54.55594444444444,ADM do Brasil -Grupo Mato Grosso do Sul,Archer-Daniels-Midland Company (ADM),Fazenda Suez,Mato Grosso do Sul,Sonora
-8.59715,-46.639218,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA AGRO BOA VISTA,Maranhão,Balsas
-8.118607,-45.870153,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CERTEZA,Maranhão,Tasso Fragoso
-8.651808,-45.945183,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CHAPADÃO,Maranhão,Tasso Fragoso
-8.297231,-45.769278,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA SAPUCAÍ,Maranhão,Tasso Fragoso
-7.088961,-45.945405,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA GUAÍRA,Maranhão,Fortaleza dos Nogueiras
-8.430479,-46.618932,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CAIUÁ,Maranhão,Balsas
-7.447427,-46.3264,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA SEIS IRMÃOS,Maranhão,Riachão
-8.721907,-45.570364,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA JAPURÁ,Piauí,Santa Filomena
-12.423922,-46.2506222,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ALVORADA,Bahia,Luíz Eduardo Magalhães
-8.678837,-46.665834,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA TAKAHASHI,Maranhão,Balsas
-15.266706,-54.263947,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA LAGOA ENCANTADA,Mato Grosso,Primavera do Leste
-7.963056,-45.92465,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ESCONDIDO,Maranhão,Balsas
-7.965008,-45.752163,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA PIRACICABA,Maranhão,Balsas
-8.125459,-45.789736,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ANGICOS,Maranhão,Tasso Fragoso
-12.902398,-46.194599,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA GUARANI,Bahia,São Desidério
-11.84223,-46.244109,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ORQUÍDEAS,Bahia,Barreiras
-11.793402,-45.958693,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CAMPO ABERTO BARREIRAS – BA,Bahia,Barreiras
-8.191716,-46.461772,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA BAIXÃO PRETO,Maranhão,Riachão
-8.520959,-46.749241,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA  AGROMANTOVA  - BATAVO,Maranhão,Balsas
-8.9949,-46.559639,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA TABATINGA,Maranhão,Alto Parnaíba
-8.672696,-46.011546,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA TERRA NOVA,Maranhão,Tasso Fragoso
-8.12433,-46.14611,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ARAPUÃ,Maranhão,Tasso Fragoso
-8.041355,-45.976106,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA APUÃ,Maranhão,Balsas
-8.135828,-46.133402,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA NOSSA SENHORA DAS GRAÇAS,Maranhão,Tasso Fragoso
-12.214789,-45.958782,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA SAMA,Bahia,Luíz Eduardo Magalhães
-11.83768,-46.28957,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CONDOMINIO IRMÃOS GATTO,Bahia,Barreiras
-8.447452,-45.937696,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA CABECEIRA,Maranhão,Tasso Fragoso
-7.960087,-45.809129,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA TEATINO,Maranhão,Balsas
-7.798658,-45.054773,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA TRADIÇÃO,Piauí,Ribeiro Gonçalves
-13.504164,-46.113412,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA GBC,Bahia,Correntina
-13.740469,-46.140271,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA PARANÁ,Bahia,Correntina
-12.804929,-45.656859,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA PORTO ALEGRE,Bahia,São Desidério
-7.849968,-45.778352,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA FAVEIRA,Maranhão,Tasso Fragoso
-9.375476,-45.35193833333334,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,Cerquality Consultoria em Sustentabilidade e Certificação,FAZENDA ALVORADA – FRITZEN,Piauí,Gilbués
-11.676155555555555,-45.72196666666667,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Cerquality Consultoria em Sustentabilidade e Certificação,Fazenda Santana,Bahia,Riachão das Neves
-9.144477777777777,-45.06604722222222,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Cerquality Consultoria em Sustentabilidade e Certificação,Fazenda Santa Clara,Piauí,Baixa Grande do Ribeiro
-13.55915,-54.31106944444444,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Cerquality Consultoria em Sustentabilidade e Certificação,Fazenda Agro Chapada,Mato Grosso,Paranatinga
-8.068769444444444,-46.562949999999994,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Cerquality Consultoria em Sustentabilidade e Certificação,Fazenda Pau Brasil,Tocantins,Campos Lindos
