,Organization,Name,Farm,Address,Latitude,Longitude
0,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos LTDA - Fazenda Santa Barbara,Fazenda Santa Bárbara,Povoado Venda Seca – Goiatuba/Goiás,"-17.976491821986123, -49.65875427640442",
1,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Condomínio Milla,"Rod. PI 392, km 45, Baixa Grandedo Ribeiro/PI",-8.248144444444444,-45.254925
2,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fazenda Boa Esperança,"Rod. Transcerrado, km 51,Uruçui/PI",-8.336391666666668,-44.418369444444444
3,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,Fazenda Itapuá,"MA 006, Transpenitente, TassoFragoso/MA",-8.878375,-46.06551111111111
4,Fazenda Santa Cruz,Fazenda Santa Cruz,Fazenda Santa Cruz,,-21.64082748233687,-45.80302
5,Serra da Pintura,Serra da Pintura,Serra da Pintura,Santa Fé de Goías/GO,-15.569666666666667,-51.20858333333334
6,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA CACHOEIRA,Orizona sentido povoado da Cachoeira no km 22 a esquerda onde localiza-se o imóvel. Orizona-GO (Brasil),-16.96518361395266, -48.14075401073855
7,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MORADA DO MUTUM,Orizona GO-219 sentido Distrito de Egerineu Teixeira no km 07 a direita onde localiza-se o imóvel. Orizona-GO (Brasil),,
8,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA AREIAS DE BAIXO,Orizona GO-219 sentido Montes Claros após o povoado seguir por mais 2 km virar a esquerda onde se localiza o imóvel(Faz. Areias de Baixo). Orizona-GO (Brasil),,
9,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MORRO ALTO,Orizona GO-219 sentido Distrito de Egerineu Teixeira no km 08 a esquerda onde localiza- se o imóvel. Orizona-GO (Brasil),,
10,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA TAQUARAL DE CIMA,Orizona/Caraiba GO 330 após 20 km virar a direita e seguir por mais 4 km até o imóvel.Vianopolis-GO (Brasil),-16.936003708292695,-48.291935761095644
11,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA ENGENHO VELHO,Estrada Silvânia S Miguel Passa Quatro km 15,,
12,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA MUCAMBO,GO 437 KM 24 A DREITA 6KM,,
13,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA RIO DO PEIXE,Rod. GO 330 Km 109 a direita 8 km,-14.482765549430829, -48.63779947532951
14,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA PONTE ALTA,"GO 330 sentido Leopoldo de Bulhões trevo sentido a Cruzeiro km12, 2 km a esquerda",-15.875724813297035,-51.772552603436296
15,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA ENGENHO VELHO,Estrada Silvânia S Miguel Passa Quatro km 16,,
16,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,FAZENDA SANTA RITA,GO 330 KM 212 A ESQUERDA 14 KM,-15.428777726417373,-51.603984882034545
17,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA ALVORADA,,-52.72437222222222,-18.490655555555556
18,Agropecuaria Andrade,Agropecuaria Andrade,ESTANCIA ETANER,,-52.828250000000004,-18.738244444444444
19,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SANTO ANTONIO,,-54.79999166666666,-20.387655555555554
20,Agropecuaria Andrade,Agropecuaria Andrade,FAZENDA SAVANA,,-52.74301388888889,-18.65628611111111
21,GGF Agro,GGF Agro LTDA,Fazenda Água Santa,"Rodovia BR163, KM 675, S/N, Zona Rural, A esquerda mais 5 KM, Lucas do Rio Verde/MT",-13.18923888888889,-56.03552777777777
22,GGF Agro,GGF Agro LTDA,Fazenda Pau da Onça,"RODOVIA MT 485, KM 100, S/N, Zona Rural, Estrada do Moroco, Santa Rita do Trivelato/MT",-13.666558333333334,-55.39378611111111
23,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Zilmar,São Gabriel do Oeste – MS,-19.254047222222223,-54.52487222222222
24,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Flamboyant,São Gabriel do Oeste – MS,-19.247997222222224,-54.49455277777778
25,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Cachoeira,São Gabriel do Oeste – MS,-19.50088611111111,-54.59820833333334
26,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda São Luiz,São Gabriel do Oeste – MS,-19.21662222222222,-54.54965833333333
27,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Boa Vista,São Gabriel do Oeste – MS,-19.41153333333333,-54.63433611111111
28,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Nascente do Brioso,São Gabriel do Oeste – MS,-19.531880555555556,-54.52256388888889
29,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Minina Linda,São Gabriel do Oeste – MS,-19.408052777777776,-54.61779166666667
30,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Ponte de Pedra 2,São Gabriel do Oeste – MS,-19.33356388888889,-54.49084444444445
31,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,Fazenda Suez,Sonora – MS,-17.628219444444444,-54.55594444444444
32,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA AGRO BOA VISTA,BALSAS - MA,-8.59715,-46.639218
33,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CERTEZA,BALSAS - MA,-8.118607,-45.870153
34,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CHAPADÃO,TASSO FRAGOSO – MA,-8.651808,-45.945183
35,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SAPUCAÍ,TASSO FRAGOSO - MA,-8.297231,-45.769278
36,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GUAÍRA,FORTALEZA DOS NOGUEIRAS – MA,-7.088961,-45.945405
37,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CAIUÁ,BALSAS - MA,-8.430479,-46.618932
38,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SEIS IRMÃOS,RIACHÃO - MA,-7.447427,-46.3264
39,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA JAPURÁ,SANTA FILOMENA - PI,-8.721907,-45.570364
40,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ALVORADA,SÃO DESIDÉRIO - BA,-12.423922,-46.2506222
41,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TAKAHASHI,BALSAS - MA,-8.678837,-46.665834
42,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA LAGOA ENCANTADA,PRIMAVERA DO LESTE - MT,-15.266706,-54.263947
43,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ESCONDIDO,BALSAS - MA,-7.963056,-45.92465
44,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PIRACICABA,TASSO FRAGOSO - MA,-7.965008,-45.752163
45,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ANGICOS,TASSO FRAGOSO - MA,-8.125459,-45.789736
46,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GUARANI,SÃO DESIDÉRIO - BA,-12.902398,-46.194599
47,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ORQUÍDEAS,BARREIRAS - BA,-11.84223,-46.244109
48,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CAMPO ABERTO BARREIRAS – BA,BARREIRAS - BA,-11.793402,-45.958693
49,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA BAIXÃO PRETO,RIACHÃO - MA,-8.191716,-46.461772
50,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA  AGROMANTOVA  - BATAVO,BALSAS - MA,-8.520959,-46.749241
51,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TABATINGA,ALTO PARNAÍBA – MA,-8.9949,-46.559639
52,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TERRA NOVA,TASSO FRAGOSO - MA,-8.672696,-46.011546
53,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA ARAPUÃ,BALSAS - MA,-8.12433,-46.14611
54,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA APUÃ,BALSAS - MA,-8.041355,-45.976106
55,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA NOSSA SENHORA DAS GRAÇAS,TASSO FRAGOSO - MA,-8.135828,-46.133402
56,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA SAMA,LUIZ EDUARDO MAGALHÃES - BA,-12.214789,-45.958782
57,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CONDOMINIO IRMÃOS GATTO,BARREIRAS - BA,-11.83768,-46.28957
58,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA CABECEIRA,TASSO FRAGOSO - MA,-8.447452,-45.937696
59,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TEATINO,BALSAS - MA,-7.960087,-45.809129
60,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA TRADIÇÃO,RIBEIRO GONÇALVES - PI,-7.798658,-45.054773
61,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA GBC,CORRENTINA - BA,-13.504164,-46.113412
62,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PARANÁ,CORRENTINA - BA,-13.740469,-46.140271
63,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA PORTO ALEGRE,CORRENTINA - BA,-12.804929,-45.656859
64,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,FAZENDA FAVEIRA,TASSO FRAGOSO - MA,-7.849968,-45.778352
