,Latitude,Longitude,Name,Organization,Farm,State,City
15,-13.18923888888889,-56.03552777777777,GGF Agro LTDA,GGF Agro,Fazenda Água Santa,Mato Grosso,Lucas do Rio Verde
62,-13.55915,-54.31106944444444,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Cerquality Consultoria em Sustentabilidade e Certificação,Fazenda Agro Chapada,Mato Grosso,Paranatinga
68,-14.143727777777777,-56.63576527777778,GMS Agronegócio Ltda,GMS Agronegócio ,Fazenda Uirapuru,Mato Grosso,Diamantino
74,-12.2564,-55.0715,Amaggi Exp Imp Ltda–Grupo III,Amaggi,25 de Dezembro,Mato Grosso,Feliz Natal
75,-12.8999,-56.3688,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Boa Esperança,Mato Grosso,Lucas do Rio Verde
77,-10.8249,-55.9555,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Calixbento,Mato Grosso,Nova Canaã do Norte
78,-13.4167,-58.7736,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Carajás,Mato Grosso,Sapezal
79,-12.9772,-56.1877,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Cedro,Mato Grosso,Lucas do Rio Verde
80,-12.2236,-55.2898,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Edwirges,Mato Grosso,Vera
81,-9.7836,-57.6221,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Embu,Mato Grosso,Nova Monte Verde
84,-10557,-56.1193,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Maria Madalena,Mato Grosso,Nova Canaã do Norte
85,-12.4967,-56.7382,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Martelli II,Mato Grosso,Tapurah
88,-11.9215,-56.1551,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Nossa Senhora Aparecida,Mato Grosso,Ipiranga do Norte
90,-12.2178,-55.8519,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Pirapó,Mato Grosso,Sorriso
91,-13.8894,-58.9020,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Planta,Mato Grosso,Sapezal
94,-13.36,-55.6689,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Quatrilho,Mato Grosso,Sorriso
95,-10.3552,-52.4000,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Reata/Goiás,Mato Grosso,São José do Xingu
96,-12.6097,-55.5120,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Reunidas São Roberto,Mato Grosso,Vera
97,-13.5218,-55.0770,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Rio Bonito,Mato Grosso,Nova Ubiratã
99,-12.8816,-55.5958,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Santin Cavalcante,Mato Grosso,Sorriso
101,-12.8419,-52.3886,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Tanguro,Mato Grosso,Querência
102,-11.5182,-52.4129,Amaggi Exp Imp Ltda–Grupo III,Amaggi,Três Rodas da Barra/São Luiz/Beira Rio,Mato Grosso,São Félix do Araguaia
136,-14.18673888888889,-56.62916111111111,Grupo Hervalense,Grupo Hervalense,Hervalense,Mato Grosso,Diamantino
137,-14.131436111111112,-57.0099,Grupo Hervalense,Grupo Hervalense,Chapadão,Mato Grosso,Diamantino
138,-14.467827777777778,-56.20327777777778,Grupo Hervalense,Grupo Hervalense,Lagoa do Cervo,Mato Grosso,Diamantino
157,-14.08013,-57.456034,SLC Agrícola S.A.,SLC Agrícola,Fazenda Paiaguás,Mato Grosso,Diamantino
158,-11.672627,-57.456034,SLC Agrícola S.A.,SLC Agrícola,Fazenda Palmares,Mato Grosso,Porto dos Gaúchos
