,Names,Country,Year,Links
0,Produzindo Certo – Grupo Castrolanda II,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/Castrolanda-II-Relatorio-de-Resumo-Publico-2022-1.pdf
1,Produzindo Certo–Grupo Castrolanda,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/Castrolanda-Relatorio-Resumo-Publico-RTRS-2022-2.pdf
2,Cusillos S.R.L,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Public-summary-Cusillos-3-surveillance-1.pdf
3,Cosufi S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Cosufi-Public-Summary-2o-surveillance.pdf
4,Girassol Agrícola Ltda,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Resumo-Publico-Girassol-Agricola.pdf
5,Fazenda Modelo (Eswalter Zanetti e Outros),Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-875207-Public-Summary-2-surveillance-Fazenda-modelo.pdf
6,Cia. Agroindustrial La Oriental S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/LA-ORIENTAL-Informe_Publico_de_Certificacion-3o-SVS-2022.2APROBADO1.pdf
7,S y D Lafuente S.A - Maiz,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/SyDLafuente-SA-SV2022-Informe_Publico_de_Certificacion_RTRS.traducido-APROBADO.MAIZnb2.pdf
8,Haritprakash Biocare LLP,India ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Haritprakash-Public-Summary-1-surveillance-2.pdf
9,Agropecuaria Dechamps S.R.L.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Dechamps-Public-summary-4-surveillance-2.pdf
10,Provinvest S.A,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/PROVINVEST-Informe-publico-RTRS-3A-svs-2022.nbGM-FT-GM-23.11.2022.FTAPROBADO-1.pdf
11,S y D Lafuente S.A,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/SyDLafuente-SA-SV2022-Informe_Publico_de_Certificacion_RTRS.traducido-APROBADO.nb2-1.pdf
12,Agropastoril Jotabasso Ltda-Fazenda Verde,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-875353-Public-Summary-2-surveillance-1.pdf
13,Amaggi Exp Imp Ltda–Grupo III,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-Prod-Amaggi-Parecis-III-2022-RF-CD-2.pdf
14,San Jose del Oeste S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-849225-Public-Summary-Recertification-2.pdf
15,Aliança da Terra Grupo IV,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/FORM-IT-004-05R04-Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-Alianca-da-Terra-IV-2022.pdf
16,Grupo Hervalense,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Resumo-Publico-Grupo-Hervalense-1.pdf
17,Grupo de Produtores CJ Selecta,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS_CJ-Selecta-RF-CD-1.pdf
18,Ish Agritech Private Limited,India ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-Public-Summary-Ish-Agritech-1.pdf
19,Wellington Pereira Lima - Gebana Goias,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-Resumo-Publico-Wellington-Gebana-Goias-1.pdf
20,Hijas de Juan A Harriet SA - Maiz,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Hijas-de-Juan-A.-Harriet.-Informe_Publico_de_Certificacion_MAIZ-RTRS-APROBADO.nb1_.pdf
21,Hijas de Juan A Harriet SA,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Hijas-de-Juan-A.-Harriet.-Informe_Publico_de_Certificacion_RTRS-APROBADO.v1-2.pdf
22,Saag Comercial Exportadora Ltda - No-GMO,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-SAAG-PRJ-827897-Public-summary-4-monitoramento.pdf
23,Saag Comercial Exportadora Ltda,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-SAAG-PRJ-827897-Public-summary-4-monitoramento.pdf
24,SLC Agrícola S.A - Maiz,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_SLC-20-10-2022-1.pdf
25,SLC Agrícola S.A.,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_SLC-20-10-2022-1.pdf
26,ADM do Brasil - Fazenda Perdigão,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-Resumo-Publico-Fazenda-Perdigao.pdf
27,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Relatorio-Resumo-Publico-RTRS_LDC.pdf
28,Caldenes S.A. - Corn,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/CALDENES-Informe_Publico_de_Certificacion_RTRS-S1-2022-APROBADOCRN-4-3.pdf
29,Desarrollo Agrícola del Paraguay S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/DAP_Informe-publico_2022_Final.pdf
30,Caldenes S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/CALDENES-Informe_Publico_de_Certificacion_RTRS-S1-2022-APROBADO.SJA_.pdf
31,Agrosoy S.A,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/2022-Agrosoy-Public-Summary-2-monitoring-1.pdf
32,Associação Clube Amigos da Terra – CAT Sorriso,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/Relatorio-Resumo-Publico-RTRS_Grupo-CAT-Sorriso_2022-1.pdf
33,SLC Agricola S.A. - Group II Terra Santa,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_Terra-Santa_SLC-4.pdf
34,Tecnocampo S.A - Corn,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/TECNOCAMPO-Informe_Publico_de_Certificacion_RTRS-MAIZ-2022-APROBADO.pdf
35,Suizangus SAAGCIYF,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Suizangus-SAAGCIYF.pdf
36,Tecnocampo S.A. No-GMO,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Tecnocampo-S.A.-non-GMO.pdf
37,Grupo Reinhofer,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2021_Informe-Publico_Grupo-Reinhofer.pdf
38,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_CerQuality-IV.pdf
39,Fazenda Pau Furado,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Fazenda-Pau-Furado.pdf
40,Agrícola Magdalena S.R.L.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Agricola-Magdalena-S.R.L..pdf
41,FAPCEN,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_FAPCEN-Grupo-I.pdf
42,Amaggi Exp Imp Ltda–Grupo Parecis II,Brazil ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Amaggi-Exp-Imp-Ltda–Grupo-ParecisII.pdf
43,Aceitera General Deheza S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Aceitera-General-Deheza-S.A..pdf
44,Rafael Alfredo Peralta Rodríguez,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2022_Informe-Publico_Rafael-Alfredo-Peralta-Rodriguez.pdf
45,Pradoten S.A.,Uruguay ,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2022_Informe-Publico_Pradoten-S.A..pdf
46,Silver Angel Impex Limited,India ,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2022_Informe-Publico_Silver-Angel-Impex-Limited.pdf
47,Monte Ovejero S.C.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2022_Informe-Publico_Monte-Ovejero-S.A..pdf
