"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","172.944.800","3,47","-5,19%"
"BBDC4","Banco Bradesco","156.143.100","13,56","-2,87%"
"MGLU3","Magazine Luiza","154.722.500","2,07","-0,48%"
"OIBR3","Oi","91.208.600","0,96","+11,63%"
"MRVE3","MRV","66.425.000","6,70","-9,46%"
"ITUB4","Itaú Unibanco","48.756.600","33,86","-1,97%"
"COGN3","Cogna","46.204.200","2,45","-2,00%"
"B3SA3","B3","30.911.000","13,16","-2,01%"
"CIEL3","Cielo","30.743.600","5,15","+0,39%"
"LREN3","Lojas Renner","28.192.100","14,96","-3,55%"
"VALE3","Vale","25.812.100","66,21","-0,88%"
"PETR4","Petrobras","25.589.100","41,86","-0,81%"
"ITSA4","Itaúsa","23.663.100","10,33","-1,34%"
"ABEV3","Ambev","23.297.000","12,95","-0,38%"
"AZUL4","Azul","22.973.900","12,38","-4,84%"
"PETZ3","Petz","22.931.100","3,57","+3,18%"
"AMER3","Americanas","19.386.500","0,68","-4,23%"
"TOTS3","Totvs","18.285.400","29,64","-9,77%"
"BBDC3","Banco Bradesco","17.821.000","12,52","-0,87%"
"USIM5","Usiminas","16.579.800","9,40","+0,75%"
"CVCB3","CVC","15.376.600","3,15","+1,94%"
"POMO4","Marcopolo","14.334.300","8,24","-0,84%"
"CPLE6","Copel","13.800.900","10,07","-2,04%"
"RAIL3","Rumo","12.935.700","23,55","+0,38%"
"EQTL3","Equatorial Energia","12.898.900","34,24","-4,30%"
"CMIG4","CEMIG","12.817.900","11,23","-1,32%"
"NTCO3","Natura","12.772.400","16,52","-1,78%"
"ASAI3","Assaí","12.424.500","13,83","+0,14%"
"SOMA3","Grupo Soma","11.488.800","7,10","-1,80%"
"CSAN3","Cosan","11.056.900","18,45","-0,70%"
"BHIA3","Casas Bahia","11.001.200","7,50","-2,22%"
"GOLL4","GOL","10.785.300","2,35","-5,62%"
"ALPA4","Alpargatas","10.733.300","8,02","-1,35%"
"BBAS3","Banco do Brasil","10.599.600","58,54","-1,51%"
"BEEF3","Minerva","10.593.000","6,65","-2,35%"
"CCRO3","Grupo CCR","10.439.700","13,47","+0,15%"
"BBSE3","BB Seguridade","10.362.700","34,50","-3,74%"
"SEQL3","Sequoia Logística","9.622.900","0,48","+2,13%"
"GFSA3","Gafisa","9.442.800","5,92","-24,59%"
"ELET3","Eletrobras","9.381.200","42,94","-0,58%"
"AURE3","VTRM ENERGIA PARTICIPAÃiES S.A.","9.381.200","12,86","-1,68%"
"RAIZ4","Raízen","8.824.000","3,92","-0,25%"
"CXSE3","Caixa Seguridade","8.734.500","13,84","-6,23%"
"VAMO3","Grupo Vamos","8.552.600","8,05","-1,71%"
"CRFB3","Carrefour Brasil","8.176.600","11,67","-1,85%"
"CYRE3","Cyrela","8.094.000","22,69","-1,60%"
"PETR3","Petrobras","8.013.000","43,23","-0,35%"
"CEAB3","C&A","7.472.200","8,10","+3,18%"
"STBP3","Santos Brasil","7.436.800","11,12","+3,35%"
"IFCM3","Infracommerce","7.377.200","1,35","-3,57%"
"TIMS3","TIM","7.340.800","18,43","+1,15%"
"RRRP3","3R Petroleum","6.908.300","29,31","+0,27%"
"GMAT3","Grupo Mateus","6.845.400","7,41","-1,33%"
"ANIM3","Ânima Educação","6.778.700","4,14","-4,39%"
"LWSA3","Locaweb","6.584.100","5,51","+0,00%"
"PCAR3","Grupo Pão de Açúcar","6.488.700","4,00","+1,01%"
"PRIO3","PetroRio","6.454.400","43,40","-1,30%"
"CSNA3","Siderúrgica Nacional","6.392.600","18,06","-1,47%"
"GGBR4","Gerdau","6.179.200","21,35","-1,97%"
"ENEV3","Eneva","6.104.400","12,69","-1,63%"
"RENT3","Localiza","6.017.300","52,65","-1,63%"
"AESB3","AES Brasil","5.997.400","10,29","-0,39%"
"RADL3","RaiaDrogasil","5.952.200","25,11","-0,55%"
"VBBR3","Vibra Energia","5.789.300","23,86","-0,42%"
"BRFS3","BRF","5.756.900","14,54","-1,82%"
"CMIN3","CSN Mineração","5.756.400","6,59","+0,76%"
"QUAL3","Qualicorp","5.732.600","2,09","-0,95%"
"SUZB3","Suzano","5.681.200","53,45","-0,47%"
"GOAU4","Metalúrgica Gerdau","5.577.400","10,03","-1,86%"
"UGPA3","Ultrapar","5.468.900","29,11","+0,55%"
"JBSS3","JBS","5.304.100","23,00","-2,25%"
"WEGE3","WEG","5.247.100","33,80","+0,51%"
"MRFG3","Marfrig","5.107.800","9,23","-2,64%"
"DXCO3","Dexco","5.026.600","7,64","-1,42%"
"YDUQ3","YDUQS","5.005.200","19,02","+0,11%"
"MLAS3","Multilaser","4.690.600","1,89","-3,57%"
"RDOR3","Rede D'Or","4.644.700","27,51","-1,68%"
"JHSF3","JHSF","4.573.200","4,40","-7,17%"
"CBAV3","CBA","4.571.100","3,81","-1,04%"
"RCSL3","Recrusul","4.552.100","1,90","+2,15%"
"ALOS3","ALOS3","4.396.100","24,21","-2,46%"
"MULT3","Multiplan","4.244.300","27,25","-2,22%"
"MOVI3","Movida","4.049.400","8,52","-5,02%"
"LJQQ3","Lojas Quero-Quero","3.887.200","4,81","-2,43%"
"EMBR3","Embraer","3.860.900","21,92","+1,06%"
"ODPV3","Odontoprev","3.837.300","13,18","+0,38%"
"AERI3","Aeris Energy","3.676.900","0,76","+0,00%"
"CPLE3","Copel","3.317.100","9,00","-1,96%"
"ECOR3","EcoRodovias","3.307.500","9,08","-2,05%"
"TEND3","Construtora Tenda","3.255.600","9,71","-2,71%"
"HBSA3","Hidrovias do Brasil","3.226.300","3,64","-2,41%"
"RAPT4","Randon","3.184.000","10,93","-4,87%"
"BRAP4","Bradespar","3.151.700","22,16","-1,12%"
"CURY3","Cury","3.135.300","18,97","-0,94%"
"SIMH3","Simpar","3.036.500","7,52","-3,09%"
"PSSA3","Porto Seguro","3.030.700","26,49","-4,20%"
"SRNA3","SRNA3","2.894.600","10,10","+0,70%"
"FLRY3","Fleury","2.740.500","16,12","-2,30%"
"EZTC3","EZTEC","2.630.200","15,10","-3,58%"
"BMGB4","Banco BMG","2.616.800","4,06","+6,28%"
"EGIE3","Engie","2.549.500","40,65","-1,12%"
"ESPA3","Espaçolaser","2.403.500","0,97","-3,00%"
"AZEV4","Azevedo & Travassos","2.401.800","1,61","+1,26%"
"KLBN4","Klabin","2.397.100","4,31","-0,46%"
"SBSP3","Sabesp","2.319.900","78,97","-1,74%"
"BPAN4","Banco Pan","2.302.500","8,41","-0,36%"
"RECV3","PetroRecôncavo","2.297.500","22,62","-0,62%"
"EVEN3","Even","2.289.500","7,18","-4,52%"
