data,cnpj,cnpj_basico,cnpj_ordem,cnpj_dv,identificador_matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,id_pais,data_inicio_atividade,cnae_fiscal_principal,cnae_fiscal_secundaria,sigla_uf,id_municipio,id_municipio_rf,tipo_logradouro,logradouro,numero,complemento,bairro,cep,ddd_1,telefone_1,ddd_2,telefone_2,ddd_fax,fax,email,situacao_especial,data_situacao_especial,cnpj_basico_1,razao_social,natureza_juridica,capital_social,porte
2023-02-15,12657869000869,12657869,0008,69,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3537008,6841,RODOVIA,ANTONIO GIOLO,S/N,KM: 23; LOTE: 01;,ZONA RURAL,14470000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,12657869000273,12657869,0002,73,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3542909,6959,ESTRADA MUNICIPAL,RIBEIRAO BONITO A GUARAPIRANGA,S/N,KM: 7; LOTE: 01; : FAZENDA MONTE BELO;,ZONA RUAL,13580000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,26365040000120,26365040,0001,20,1,,2,2016-10-10,0,,,2016-10-10,6461100,,MT,5103403,9067,AVENIDA,ANDRE ANTONIO MAGGI,303,ANDAR 5,CENTRO POLITICO ADMINISTRATIVO,78049080,65,36455000,65,36455157,65,36455000,derli.halberstadt@amaggi.com.br,,,26365040,AMAGGI PARTICIPACOES FINANCEIRAS LTDA.,2062,80173175.0,5
2023-02-15,12657869000435,12657869,0004,35,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3539400,6889,ESTRADA MUNICIPAL,PIRATININGA FAZ SILVERIA,S/N,LOTE: 01;,ZONA RUAL,17490001,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,35308911.0,5
2023-02-15,18844424000106,18844424,0001,06,1,AMAGGI LOUIS DREYFUS ZEN-NOH HOLDINGS,2,2013-09-09,0,,,2013-09-09,6462000,,SP,3550308,7107,AVENIDA,BRIGADEIRO FARIA LIMA,1355,ANDAR 13                  CONJ  1301                SALA  F,PINHEIROS,01452919,77,36392200,63,32197745,11,38143235,fiscal@alzgraos.com.br,,,18844424,AMAGGI LOUIS DREYFUS ZEN-NOH HOLDINGS S.A.,2054,234161976.0,5
2023-02-15,38850314000237,38850314,0002,37,2,FAZENDA SANTA CLARA,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5107768,1096,FAZENDA,SANTA CLARA - RODOVIA MT 240,S/N,,ZONA RURAL,78453000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,13111495000682,13111495,0006,82,2,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,8,2013-11-29,2,,,2011-06-29,4622200,,PR,4109401,7583,RUA,SALDANHA MARINHO,3535,,ESTRELAS,85035160,11,32651095,,,,,priscila.zambone@mitsubischicorp.com,,,13111495,AGREX DO BRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,2062,351495154.0,5
2023-02-15,12657869001083,12657869,0010,83,2,LOUIS DREYFUS COMPANY AGRICOLA,2,2014-06-16,0,,,2014-06-16,0131800,6810202,SP,3502002,6139,ESTRADA,ANALANDIA A VISCONDE,S/N,LOTE: 01; : FAZENDA BOCAINA;,ZONA RURAL,13550000,13,21279893,11,30397160,,,spo-ldccscfiscal@ldc.com,,,12657869,LOUIS DREYFUS COMPANY AGRICOLA S.A.,2054,24690538.0,5
2023-02-15,38850314000741,38850314,0007,41,2,FAZENDA MATA AZUL,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5106224,9937,FAZENDA,"MATA AZUL - RODOVIA BR 163, KM 630",S/N,,ZONA RURAL,78450000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
2023-02-15,17393890000141,17393890,0001,41,1,,2,2013-01-03,0,,,2013-01-03,0115600,"0111301,0111302,0111399,0112101,0113000,0116402,0119905,0151201,0152102,0153902,0210101,6810202",MT,5107925,9907,FAZENDA,"SANTA MARIA, BR 163 KM 706 MAIS 08 KM A ESQUERDA",S/N,,ZONA RURAL,78890000,65,35492048,,,65,35491358,financeiro@gmsagro.com.br,,,17393890,GMS AGRONEGOCIOS LTDA,2062,95100366.0,5
2023-02-15,38850314001047,38850314,0010,47,2,FAZENDA PICACAS,2,2020-10-14,0,,,2020-10-14,0115600,"0111302,0112101,0113000,0116402,0119905,0139399,0151201,0153902,0154700",MT,5105259,9925,FAZENDA,"PICACAS - RODOVIA DA PRODUCAO, MT 449, KM 26",S/N,,ZONA RURAL,78455000,65,35499000,,,,,contador@ggfbrasil.com,,,38850314,GGF AGRO LTDA,2062,210000000.0,5
