,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
0,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos LTDA - Fazenda Santa Barbara,2022,https://responsiblesoy.org/wp-content/uploads/2023/04/Relatorio-Resumo-Publico-RTRS-3.pdf,FCID RTRS 2065 376,FoodChain Id Certificadora Ltda,1207.0,28/10/22,27/10/22,664.1,1,Individual,1,2,1,-2,2,1,2,-2,2,-2,-2,-2,2,-2,2,2,1,0,1,1,-2,-2,-2,0,-2,1,0,-2,-2,1.8174973648546906,2
1,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays” - Fapcen Grupo 4,2022,https://responsiblesoy.org/wp-content/uploads/2023/04/2022-Fapcen-G4-Public-Summary-initial-1.pdf,RTRS CUC AGR COC 0110,Control Union,220845.0,31/03/23,30/03/28,46596.0,3,Group,-1,1,1,-2,1,0,-2,-2,-2,-2,-2,1,1,2,1,-2,-2,1,-2,0,0,-2,-2,1,0,-2,1,-2,-15,4.739569920164821,1
2,Fazenda Santa Cruz,Fazenda Santa Cruz,2023,https://responsiblesoy.org/wp-content/uploads/2023/04/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_Santa-Cruz_2023.pdf,RTRS GC FORM IT 016,Gênesis Certificações,333.0,06/05/22,06/05/27,118.0,1,Individual,1,1,1,-2,-2,1,-1,-2,1,-2,1,1,1,1,1,1,1,1,-2,1,1,-2,-2,1,1,-1,0,-2,-2,2.8220338983050848,2
3,Serra da Pintura,Serra da Pintura,2023,https://responsiblesoy.org/wp-content/uploads/2023/03/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-Weimar-M-Amorim-Faz-Serra-da-Pintura-1.pdf,RTRS FCID AGR 2167,FoodChain Id Certificadora Ltda,9104.4,09/03/23,08/03/28,2529.0,1,Individual,1,-2,0,-2,1,1,-2,-2,1,1,-2,-2,1,1,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,0,1,-2,-17,3.5999999999999996,1
4,Tecnosol Consultoria Rural,Tecnosol Consultoria Rural LTDA,2022,https://responsiblesoy.org/wp-content/uploads/2023/03/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-2.pdf,RTRS FCID AGR 2101,FoodChain Id Certificadora Ltda,29293.0,20/02/23,19/02/28,7753.0,11,Group,1,2,-2,-2,-2,1,2,-2,1,-2,-2,-2,2,-2,1,1,2,0,-2,2,-2,-2,-2,0,-2,0,0,-2,-14,3.7782793757255257,1
5,Agropecuaria Andrade,Agropecuaria Andrade,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_r3-Agropecuaria-Andrade-5.pdf,RTRS GC FORM IT 016,Gênesis Certificações,3171.0,15/12/22,15/12/27,6247.46,4,Multi-Site,1,1,1,-2,2,-2,1,-2,1,-2,1,0,1,1,-2,1,1,0,0,1,-2,0,0,1,0,-1,0,-2,-2,0.5075662749341332,2
6,GGF Agro,GGF Agro LTDA,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/2022-GGF-Agro-Public-Summary-3-surveillance-2.pdf,RTRS CUC AGR 0071 18 12 2019,Control Union,27251.5,18/12/19,17/12/24,6924.0,1,Individual,1,2,1,-2,1,2,0,1,2,-2,-2,1,1,-2,1,0,0,1,1,1,1,1,-2,1,1,1,0,-2,8,3.935803004043905,0
7,Archer-Daniels-Midland Company (ADM),ADM do Brasil -Grupo Mato Grosso do Sul,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/2022-ADM-Grupo-MS-Public-Summary-Initial.pdf,RTRS CUC AGR COC 0107,Control Union,47332.9,27/01/23,26/01/28,11801.0,9,Group,-2,-2,1,-2,1,1,-2,-2,1,-2,2,1,1,1,1,1,1,1,1,1,1,0,-2,2,1,1,1,-2,7,4.010922803152275,0
8,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA Grupo I,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/2022-Public-Sumarry-Cerquality-G1-surveillance-1.pdf,RTRS CUC AGR COC 0048,Control Union,555447.56,01/03/21,28/02/26,147379.87,34,Group,1,1,1,-2,1,1,0,0,-2,1,2,2,1,1,1,0,1,1,1,1,1,1,-2,1,1,1,1,-2,14,3.7688156462615963,0
9,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,2022,https://responsiblesoy.org/wp-content/uploads/2023/01/2022_Informe-Publico_CerQuality-IV-2.pdf,RTRS CUC AGR COC 0104,Control Union,196369.17,18/08/22,17/08/27,50732.3,12,Group,1,1,0,-2,1,1,-2,1,-2,-2,2,2,1,1,1,1,1,1,-1,1,1,-2,-2,1,1,-2,2,-2,3,3.870693226997396,2
10,GMS Agronegócio ,GMS Agronegócio Ltda,2022,https://responsiblesoy.org/wp-content/uploads/2023/01/2022-Resumo-Publico-GMS-Agro.pdf,RTRS CUC AGR COC 0088,Control Union,29631.0,28/12/20,27/12/25,6404.89,1,Individual,1,1,1,1,1,1,-2,-2,1,0,1,1,1,1,2,-2,-2,1,1,1,1,1,-2,1,1,0,0,1,10,4.626308960809631,0
11,Produzindo Certo Grupo Castrolanda,Produzindo Certo – Grupo Castrolanda II,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/Castrolanda-II-Relatorio-de-Resumo-Publico-2022-1.pdf,RTRS FCID AGR 10713,FoodChain Id Certificadora Ltda,5378.8,20/12/22,20/12/27,1189.5,4,Group,1,-2,0,-2,1,1,-2,-2,1,1,-2,1,1,1,1,0,1,1,-2,1,1,0,-2,0,1,1,1,1,2,4.521899957965532,2
12,Produzindo Certo Grupo Castrolanda,Produzindo Certo–Grupo Castrolanda,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/Castrolanda-Relatorio-Resumo-Publico-RTRS-2022-2.pdf,RTRS FCID AGR COC 0023,FoodChain Id Certificadora Ltda,4382.4,25/10/21,24/10/21,1127.4,2,Group,0,-2,-1,-2,0,1,-2,-2,1,0,-2,0,1,0,1,0,1,1,-2,1,1,0,-2,0,1,1,1,-2,-6,3.88717402873869,2
13,Girassol Agrícola,Girassol Agrícola Ltda,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Resumo-Publico-Girassol-Agricola.pdf,RTRS CUC AGR COC 0086,Control Union,16392.85,04/09/20,20/12/25,3604.0,1,Individual,1,1,1,1,1,1,-2,1,1,0,1,1,1,1,2,-2,0,1,1,1,1,1,-2,1,1,0,0,1,15,4.548515538290788,0
14,Fazenda Modelo,Fazenda Modelo (Eswalter Zanetti e Outros),2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-875207-Public-Summary-2-surveillance-Fazenda-modelo.pdf,RTRS CUC AGR COC 0084,Control Union,7511.76,14/12/20,13/12/25,1972.37,1,Individual,1,1,1,1,1,1,-2,1,1,0,1,1,1,1,2,-2,-1,1,1,1,1,1,-2,1,1,0,0,1,14,3.808494349437479,0
15,Agropastoril Jotabasso,Agropastoril Jotabasso Ltda-Fazenda Verde,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-875353-Public-Summary-2-surveillance-1.pdf,RTRS CUC AGR COC 0087,Control Union,30608.7,23/12/20,22/12/25,7500.0,1,Individual,1,1,1,1,1,1,-2,-2,1,0,-2,1,1,1,2,-2,-1,1,1,1,1,1,-2,1,1,0,0,1,8,4.08116,0
16,Amaggi,Amaggi Exp Imp Ltda–Grupo III,2022,https://responsiblesoy.org/wp-content/uploads/2023/02/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-Prod-Amaggi-Parecis-III-2022_Revisado.pdf,RTRS FCID AGR COC 0026,FoodChain Id Certificadora Ltda,526415.0,26/11/21,25/11/26,150223.09,29,Group,1,1,1,-2,1,1,-2,-2,2,0,1,1,1,-2,2,1,-2,1,-2,1,1,1,-2,1,1,1,-2,-2,1,3.504221621323327,2
17,Aliança da Terra,Aliança da Terra Grupo IV,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/FORM-IT-004-05R04-Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS-Alianca-da-Terra-IV-2022.pdf,RTRS FCID AGR COC 0022,FoodChain Id Certificadora Ltda,237309.7,02/07/21,05/04/26,56182.1,33,Group,0,2,1,-2,1,0,-2,-2,1,1,0,0,1,-2,1,0,1,0,-2,1,1,-2,-2,2,-2,-1,0,2,-2,4.223937873450797,2
18,Grupo Hervalense,Grupo Hervalense,2022,https://responsiblesoy.org/wp-content/uploads/2022/12/2022-Resumo-Publico-Grupo-Hervalense-1.pdf,RTRS CUC AGR COC 0085,Control Union,90656.08,18/12/20,17/12/25,23709.33,3,Group,1,1,1,1,1,1,-2,-2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,0,1,1,16,3.8236457968234445,0
19,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Relatorio-de-Resumo-Publico-Programa-de-Certificacao-RTRS_CJ-Selecta-RF-CD-1.pdf,FCID RTRS 281 209,FoodChain Id Certificadora Ltda,95623.68,31/10/22,30/10/27,24916.0,9,Group,-1,1,0,-2,0,1,-2,-2,1,1,-2,0,1,1,2,0,1,1,-2,1,2,-2,-2,0,1,1,1,-2,0,3.837842350296998,2
20,Wellington Pereira Lima - Gebana Goias,Wellington Pereira Lima - Gebana Goias,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-Resumo-Publico-Wellington-Gebana-Goias-1.pdf,RTRS CUC AGR COC NGMO 0106,Control Union,1080.0,26/10/22,25/10/27,754.0,1,Individual,1,-2,1,-2,1,1,-2,-2,1,-2,1,1,1,0,1,-2,0,1,1,1,1,-2,-2,-2,-2,1,1,-2,-8,1.4323607427055702,2
21,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda – No-GMO,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-SAAG-PRJ-827897-Public-summary-4-monitoramento.pdf,RTRS CUC AGR COC NGMO 0020,Control Union,35088.87,11/06/18,10/06/23,11696.29,9,Group,1,2,1,-2,1,1,0,0,1,-2,1,1,1,1,1,0,1,1,0,1,-2,1,-2,-2,0,1,2,-2,6,3.0,0
22,SLC Agrícola,SLC Agrícola S.A.,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_SLC-20-10-2022-1.pdf,RTRS GC FORM IT 016,Gênesis Certificações,723435.47,23/09/21,23/09/26,179551.46,10,Multi-Site,1,1,1,-2,-2,-2,1,-2,1,-1,1,1,1,-2,1,1,1,1,0,1,-2,-2,-2,1,1,-1,0,1,-3,4.029126078952519,2
23,Archer-Daniels-Midland Company (ADM),ADM do Brasil - Fazenda Perdigão,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/2022-Resumo-Publico-Fazenda-Perdigao.pdf,RTRS CUC AGR COC 0105,Control Union,6421.0,20/09/22,15/09/27,1318.0,1,Individual,1,1,1,-2,1,1,-2,-2,2,-2,2,-2,1,1,1,0,2,1,-2,1,0,-2,-2,-2,1,1,2,-2,-1,4.871775417298938,2
24,Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,2022,https://responsiblesoy.org/wp-content/uploads/2022/11/Relatorio-Resumo-Publico-RTRS_LDC.pdf,FCID RTRS 1175 2,FoodChain Id Certificadora Ltda,707676.0,05/10/22,04/10/22,159722.0,4,Group,1,2,0,-2,2,1,2,-2,2,-2,-2,-2,2,-2,2,1,2,0,-2,2,-2,-2,-2,0,-2,1,0,-2,-5,4.430673294849801,2
25,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/Relatorio-Resumo-Publico-RTRS_Grupo-CAT-Sorriso_2022-1.pdf,FCID RTRS 1069 293,FoodChain Id Certificadora Ltda,236960.1,05/11/21,04/11/26,65286.0,20,Group,1,2,0,-2,-2,0,-2,-2,2,-2,1,1,1,-2,2,0,1,1,-2,1,0,-2,-2,2,1,1,-2,2,-2,3.6295698924731186,2
26,SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,2022,https://responsiblesoy.org/wp-content/uploads/2022/10/GC-FORM-IT-016-06-Relatorio-Resumo-Publico_Terra-Santa_SLC-4.pdf,RTRS GC FORM IT 016,Gênesis Certificações,192702.0,14/07/22,14/07/27,53947.0,4,Multi-Site,1,1,1,-2,1,0,1,-2,1,-2,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,-2,10,3.572061467736853,0
27,Grupo Reinhofer,Grupo Reinhofer,2022,https://responsiblesoy.org/wp-content/uploads/2022/08/2021_Informe-Publico_Grupo-Reinhofer.pdf,RTRS CUC AGR COC 0069,Control Union,25538.35,08/02/19,07/02/24,6080.56,5,Multi-Site,1,2,1,-2,1,1,-2,0,1,-2,0,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,0,1,1,10,4.199999671082926,0
28,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_CerQuality-IV.pdf,RTRS CUC AGR COC 0104,Control Union,196369.17,18/08/22,17/08/27,50732.3,8,Group,1,1,0,-2,1,1,-2,1,-2,-2,2,2,1,1,1,1,1,1,-1,1,1,-2,-2,1,1,-2,2,-2,3,3.870693226997396,2
29,Fazenda Pau Furado,Fazenda Pau Furado,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_Fazenda-Pau-Furado.pdf,RTRS GC FORM IT 016,Gênesis Certificações,2281.0,07/11/20,07/11/25,633.53,1,Individual,-2,0,1,-2,-2,-2,-2,-2,0,-2,0,1,1,1,1,1,1,1,0,1,1,0,-2,1,1,0,1,-2,-3,3.600460909507048,2
30,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN,2022,https://responsiblesoy.org/wp-content/uploads/2022/09/2022_Informe-Publico_FAPCEN-Grupo-I.pdf,RTRS CUC AGR COC 0047,Control Union,4230.43,27/05/21,26/06/26,100331.09,7,Group,1,1,2,-2,1,1,-2,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-2,1,1,1,1,-2,13,0.04216469690501718,0
